"","name","player_id","year","pa","avg","obp","slg","ops","iso","woba","home_run","k_pct+","bb_pct+","xba+","xslg+","xwoba+","xwobacon+","barrel_rate+","hard_hit_pct+","z_sw_miss_pct+","oz_sw_pct+","oz_sw_miss_pct+","hr_rate+","probC1","probC2","probC3","probC4","probC5","probC6","probC7","probC8","Cluster","maxProb","PlayerYear"
"1","Ellis, A.J.",454560,2015,217,0.238,0.355,0.403,0.758,0.165,0.336,7,89.22,187.14,97.03,102,108.26,97.5,120.01,93.78,83.75,46.7,93.61,116.02,0.01,0,0.004,0,0,0,0.066,0.919,8,0.919,"A.J. Ellis 2015"
"2","Pierzynski, A.J.",150229,2015,436,0.3,0.339,0.43,0.769,0.13,0.333,9,43.34,56.02,110.61,99.76,100.66,89.54,61.77,74.85,67.13,133.27,53.76,74.24,0.001,0,0.812,0,0.179,0,0.008,0,3,0.812,"A.J. Pierzynski 2015"
"3","Pierzynski, A.J.",150229,2016,259,0.219,0.243,0.304,0.547,0.085,0.236,2,55,27.43,97.58,82.92,83.73,77.7,27.42,95.58,61.46,150.49,83.99,24.29,0,0.006,0.412,0,0.582,0,0,0,5,0.582,"A.J. Pierzynski 2016"
"4","Pollock, AJ",572041,2015,673,0.315,0.367,0.498,0.865,0.183,0.371,20,67.3,100.57,116.6,110.23,109.84,101.9,100.6,113.88,48.52,98.51,101.37,106.89,0.132,0,0.12,0,0,0,0.722,0.025,7,0.722,"AJ Pollock 2015"
"5","Pollock, AJ",572041,2017,466,0.266,0.33,0.471,0.801,0.205,0.34,14,72.82,85.58,110.27,104.37,104.99,97.79,83.85,111.34,61.48,92.1,94.13,87.17,0.099,0.001,0.508,0,0.006,0,0.314,0.072,3,0.508,"AJ Pollock 2017"
"6","Pollock, AJ",572041,2018,460,0.257,0.316,0.484,0.8,0.227,0.338,21,101.24,77.12,100.78,114.13,104.45,106.52,140.75,110.98,67.68,103.82,130.09,145.59,0.892,0.002,0.03,0,0,0.006,0.014,0.055,1,0.892,"AJ Pollock 2018"
"7","Pollock, AJ",572041,2019,342,0.266,0.327,0.468,0.795,0.202,0.333,15,98.15,76.77,100.83,102.67,100.82,100.35,102.36,105.81,89.8,100.62,123.75,115.54,0.522,0.035,0.231,0,0.001,0.004,0.012,0.195,1,0.522,"AJ Pollock 2019"
"8","Pollock, AJ",572041,2021,422,0.297,0.355,0.536,0.891,0.239,0.375,21,85.1,79.95,113.69,118.99,110.85,109.72,131.53,119.26,79.06,119.37,105.85,145.87,0.886,0,0.021,0.001,0,0,0.085,0.007,1,0.886,"AJ Pollock 2021"
"9","Pollock, AJ",572041,2022,527,0.245,0.292,0.389,0.681,0.144,0.297,14,84.21,74.56,106.65,106.59,101.8,99.95,119.75,107.99,87.5,116.06,105.49,90.95,0.463,0.006,0.436,0,0.001,0,0.04,0.053,1,0.463,"AJ Pollock 2022"
"10","Altherr, Aaron",571437,2016,227,0.197,0.3,0.288,0.588,0.091,0.266,4,149.27,120.46,84.55,74.77,87.78,93.29,47.22,98.4,121.66,96.62,125.07,55.43,0,0.959,0.004,0,0,0.002,0,0.034,2,0.959,"Aaron Altherr 2016"
"11","Altherr, Aaron",571437,2017,412,0.272,0.34,0.516,0.856,0.244,0.359,19,120.74,89.01,102,110.47,104.99,112.37,155.72,124.1,125.32,92.83,130.6,133.8,0.769,0.001,0.001,0.003,0,0.18,0.001,0.044,1,0.769,"Aaron Altherr 2017"
"12","Altherr, Aaron",571437,2018,285,0.181,0.295,0.333,0.628,0.152,0.282,8,148.83,145.02,86.61,93.16,99.13,109.21,136.53,125.19,133.58,81.55,153.52,89.52,0.014,0.009,0,0,0,0.917,0,0.06,6,0.917,"Aaron Altherr 2018"
"13","Hicks, Aaron",543305,2015,390,0.256,0.323,0.398,0.721,0.142,0.314,11,86.16,110.76,105.02,103.75,104.14,99.97,54.71,96.99,89.07,76.01,108.06,101.45,0.109,0.009,0.252,0,0.004,0,0.107,0.519,8,0.519,"Aaron Hicks 2015"
"14","Hicks, Aaron",543305,2016,361,0.217,0.281,0.336,0.617,0.119,0.27,8,92.31,99,91.66,86.03,89.96,86.03,70.07,98.68,116.59,81.68,108.58,69.71,0.007,0.531,0.196,0,0.027,0,0,0.238,2,0.531,"Aaron Hicks 2016"
"15","Hicks, Aaron",543305,2017,361,0.266,0.372,0.475,0.847,0.209,0.363,15,89.11,160.9,97.67,101.09,107.14,97.52,112.3,94.23,124.73,73.53,103.05,120.56,0.082,0.005,0.017,0,0,0.006,0.023,0.867,8,0.867,"Aaron Hicks 2017"
"16","Hicks, Aaron",543305,2018,581,0.248,0.366,0.467,0.833,0.219,0.36,27,89.11,178.4,106.04,113.4,116.33,108.4,123.86,117.54,117.55,65.38,81.28,148.2,0.224,0,0.002,0.064,0,0.003,0.37,0.338,7,0.37,"Aaron Hicks 2018"
"17","Hicks, Aaron",543305,2019,255,0.235,0.325,0.443,0.768,0.208,0.325,12,128.14,139.79,82.17,87.09,90.7,92.55,126.67,97.59,131.79,81.26,121.34,123.97,0.015,0.445,0.005,0,0,0.116,0,0.419,2,0.445,"Aaron Hicks 2019"
"18","Hicks, Aaron",543305,2022,453,0.216,0.33,0.313,0.643,0.097,0.292,8,109.11,167.46,90.11,85.47,97.31,91.71,73.89,85.11,113.41,70.32,103.12,60.46,0.003,0.144,0.027,0,0.005,0.001,0.001,0.819,8,0.819,"Aaron Hicks 2022"
"19","Hicks, Aaron",543305,2023,312,0.253,0.353,0.383,0.736,0.13,0.326,8,98.47,156.26,82.89,72.81,87.4,77.43,47.33,73.54,110.79,72.87,99.68,78.91,0,0.708,0.033,0,0.092,0,0,0.166,2,0.708,"Aaron Hicks 2023"
"20","Hill, Aaron",431094,2015,353,0.23,0.295,0.345,0.64,0.115,0.281,6,78.01,112.03,94.63,88.29,93.7,85.14,38.83,86.21,63.14,81.81,95.49,61.13,0.001,0.052,0.449,0,0.407,0,0.003,0.088,3,0.449,"Aaron Hill 2015"
"21","Hill, Aaron",431094,2016,427,0.262,0.336,0.378,0.714,0.116,0.313,10,67.76,114.5,103.51,87.47,96.8,85.5,18.28,75,66.53,79.94,90.01,73.66,0,0.009,0.425,0,0.519,0,0.008,0.039,5,0.519,"Aaron Hill 2016"
"22","Judge, Aaron",592450,2017,678,0.284,0.422,0.627,1.049,0.343,0.43,52,147.09,213.39,113.03,156.67,138.54,169.87,384.8,158.6,135.96,83,153.82,222.52,0,0,0,1,0,0,0,0,4,1,"Aaron Judge 2017"
"23","Judge, Aaron",592450,2018,498,0.278,0.392,0.528,0.92,0.25,0.391,27,142.3,176.1,110.49,128.52,122.9,142.75,228.02,147.88,156.14,75.44,147.66,172.91,0,0,0,0.995,0,0.005,0,0,4,0.995,"Aaron Judge 2018"
"24","Judge, Aaron",592450,2019,447,0.272,0.381,0.54,0.921,0.268,0.382,27,143.13,163.85,110.36,133.38,123.18,146.37,258.45,154.88,141.12,77.46,160.58,159.12,0,0,0,0.998,0,0.002,0,0,4,0.998,"Aaron Judge 2019"
"25","Judge, Aaron",592450,2021,633,0.287,0.373,0.544,0.917,0.257,0.387,39,111.98,132.88,124.17,141.64,129.07,139.64,208.55,146.93,113.26,85.73,114.44,180.6,0.001,0,0,0.999,0,0,0,0,4,0.999,"Aaron Judge 2021"
"26","Judge, Aaron",592450,2022,696,0.311,0.425,0.686,1.111,0.375,0.458,62,113.63,194.35,126.07,179.6,148.69,167.77,337.58,158.9,116.86,78.17,126.4,304.99,0,0,0,1,0,0,0,0,4,1,"Aaron Judge 2022"
"27","Judge, Aaron",592450,2023,458,0.267,0.406,0.613,1.019,0.346,0.42,37,126.53,222.24,115.72,170.53,142.87,167.23,325.38,160.59,157.87,67.99,145.36,248.63,0,0,0,1,0,0,0,0,4,1,"Aaron Judge 2023"
"28","Almonte, Abraham",501659,2015,258,0.25,0.31,0.409,0.719,0.159,0.312,5,102.99,103.12,102.62,103.25,103.19,104.64,104.13,99.32,113,93.74,111.53,69.7,0.355,0.033,0.163,0,0.001,0.005,0.018,0.425,8,0.425,"Abraham Almonte 2015"
"29","Toro, Abraham",647351,2021,375,0.239,0.315,0.373,0.688,0.134,0.303,11,64.5,93.47,99.58,99.19,99.74,87.67,87.69,85.29,73.45,108.88,63.6,85.98,0.005,0.003,0.823,0,0.129,0,0.024,0.015,3,0.823,"Abraham Toro 2021"
"30","Toro, Abraham",647351,2022,352,0.185,0.239,0.324,0.563,0.139,0.246,10,83.75,77.01,93.42,94.63,91.21,87.31,86.62,76.37,85.2,105.48,84.11,97.27,0.005,0.091,0.736,0,0.137,0,0.001,0.028,3,0.736,"Abraham Toro 2022"
"31","Mondesi, Adalberto",609275,2018,291,0.276,0.306,0.498,0.804,0.222,0.341,14,123.64,43.74,103.21,117.06,103.2,117.79,146.38,100.05,136.55,122.86,134,153.43,0.93,0.001,0.002,0,0,0.062,0,0.004,1,0.93,"Adalberto Mondesi 2018"
"32","Mondesi, Adalberto",609275,2019,443,0.263,0.291,0.424,0.715,0.161,0.298,9,135.41,49.27,92.5,87.54,86.72,100.61,110.03,90.17,154.53,133.13,140.6,53.52,0.011,0.965,0.013,0,0,0.008,0,0.004,2,0.965,"Adalberto Mondesi 2019"
"33","Duvall, Adam",594807,2016,607,0.241,0.297,0.498,0.795,0.257,0.333,33,132.58,81.1,97.58,117.66,104.59,116.68,184.32,116.72,114.69,113.65,120.88,171.01,0.837,0,0,0.004,0,0.151,0,0.007,1,0.837,"Adam Duvall 2016"
"34","Duvall, Adam",594807,2017,647,0.249,0.301,0.48,0.781,0.231,0.327,31,126.01,68.47,89.01,98.51,92.67,99.91,133.26,94.52,112.32,114.3,100.76,139.01,0.345,0.375,0.151,0,0.001,0.025,0,0.104,2,0.375,"Adam Duvall 2017"
"35","Duvall, Adam",594807,2018,427,0.195,0.274,0.365,0.639,0.17,0.277,15,127.83,100.14,91.88,104.13,99.45,108.13,146.38,113.71,118.14,113.52,112.52,112.03,0.685,0.035,0.018,0,0,0.144,0.001,0.118,1,0.685,"Adam Duvall 2018"
"36","Duvall, Adam",594807,2021,555,0.228,0.281,0.491,0.772,0.263,0.324,38,140.65,70.94,91.51,118.99,101.9,119.95,190.78,110.45,105.97,122.98,112.35,200.7,0.828,0,0,0.002,0,0.166,0,0.003,1,0.828,"Adam Duvall 2021"
"37","Duvall, Adam",594807,2022,315,0.213,0.276,0.401,0.677,0.188,0.295,12,145.32,81.9,86.39,100.48,94.1,108.73,163.06,105.42,123.19,117.09,104.3,130.43,0.482,0.136,0.015,0,0,0.3,0,0.068,1,0.482,"Adam Duvall 2022"
"38","Duvall, Adam",594807,2023,353,0.247,0.303,0.531,0.834,0.284,0.347,21,139.01,71.76,84.09,104.43,94.22,107.97,153.81,97.81,121.7,118.89,110.06,183.09,0.542,0.086,0.01,0,0,0.324,0,0.037,1,0.542,"Adam Duvall 2023"
"39","Eaton, Adam",594809,2015,689,0.287,0.361,0.431,0.792,0.144,0.346,14,96.87,106.94,100.22,87.29,97.49,92.83,54.71,90,83.75,94.42,80.78,73.08,0.009,0.054,0.689,0,0.114,0,0.009,0.126,3,0.689,"Adam Eaton 2015"
"40","Eaton, Adam",594809,2016,706,0.284,0.362,0.428,0.79,0.144,0.344,14,80.04,106.15,105.88,95.14,102.72,94.64,47.22,102.06,76.04,103.22,72.21,62.37,0.013,0.004,0.807,0,0.067,0,0.062,0.047,3,0.807,"Adam Eaton 2016"
"41","Eaton, Adam",594809,2018,370,0.301,0.394,0.411,0.805,0.11,0.358,5,80.71,118.55,109.68,90.96,105.08,94.18,43.63,83.1,66.49,95.92,77.62,43.1,0.003,0.003,0.713,0,0.17,0,0.062,0.049,3,0.713,"Adam Eaton 2018"
"42","Eaton, Adam",594809,2019,656,0.279,0.365,0.428,0.793,0.149,0.342,15,73.61,113.43,101.63,93.04,100.51,88.91,48.62,90.96,62.98,94.75,73.43,60.23,0.002,0.005,0.681,0,0.239,0,0.03,0.043,3,0.681,"Adam Eaton 2019"
"43","Eaton, Adam",594809,2021,288,0.201,0.282,0.327,0.609,0.126,0.271,6,110.64,85.58,87.08,73.68,84.92,82.68,50.95,85.54,92.51,107.07,88.67,61.07,0,0.655,0.171,0,0.164,0,0,0.01,2,0.655,"Adam Eaton 2021"
"44","Engel, Adam",641553,2017,336,0.166,0.235,0.282,0.517,0.116,0.23,6,166.73,65.04,70.5,66.84,73.89,86.66,53.9,64.95,161.97,105.57,127.54,51.81,0,1,0,0,0,0,0,0,2,1,"Adam Engel 2017"
"45","Engel, Adam",641553,2018,463,0.235,0.279,0.336,0.615,0.101,0.27,6,130.17,44.89,84.19,72.67,77.24,84.52,36.6,88.84,131.2,136.16,111.3,41.33,0,0.985,0.011,0,0.003,0,0,0,2,0.985,"Adam Engel 2018"
"46","Engel, Adam",641553,2019,248,0.242,0.304,0.383,0.687,0.141,0.296,6,143.13,64.17,89.32,79.75,85.8,96.71,67.81,79.56,131.79,116.53,118.21,63.73,0.001,0.978,0.016,0,0.001,0,0,0.005,2,0.978,"Adam Engel 2019"
"47","Engel, Adam",641553,2022,260,0.224,0.269,0.31,0.579,0.086,0.256,2,132.2,51.34,90.53,73.01,79,87.86,22.93,85.11,133.55,95.92,136.14,26.34,0,0.991,0.005,0,0.002,0,0,0.001,2,0.991,"Adam Engel 2022"
"48","Frazier, Adam",624428,2017,454,0.276,0.344,0.399,0.743,0.123,0.322,6,60.37,90.15,110.67,91.71,100.37,88.51,29.95,70.17,54.38,91.73,66.32,38.34,0,0,0.408,0,0.579,0,0.01,0.002,5,0.579,"Adam Frazier 2017"
"49","Frazier, Adam",624428,2018,352,0.277,0.342,0.456,0.798,0.179,0.343,10,70.45,94.38,108.07,95.84,99.76,91.5,57.71,86.11,55.21,86.94,65.41,90.6,0.003,0.001,0.714,0,0.173,0,0.085,0.023,3,0.714,"Adam Frazier 2018"
"50","Frazier, Adam",624428,2019,608,0.278,0.336,0.417,0.753,0.139,0.32,10,55.89,75.62,109.17,92.36,97.44,86.57,24.31,75.05,64.15,93.71,65.97,43.33,0,0.001,0.421,0,0.572,0,0.005,0.001,5,0.572,"Adam Frazier 2019"
"51","Frazier, Adam",624428,2021,639,0.305,0.368,0.411,0.779,0.106,0.341,5,48.38,84.46,116.1,89.66,100.05,85.83,11.85,63.4,43.17,94.41,59.19,22.94,0,0,0.189,0,0.807,0,0.004,0,5,0.807,"Adam Frazier 2021"
"52","Frazier, Adam",624428,2022,602,0.238,0.301,0.311,0.612,0.073,0.274,3,54.78,92.9,108.3,86.24,95.38,82.92,19.11,63,52.39,98.31,64.63,17.06,0,0,0.134,0,0.865,0,0.001,0,5,0.865,"Adam Frazier 2022"
"53","Frazier, Adam",624428,2023,455,0.24,0.3,0.396,0.696,0.156,0.302,13,66.39,81.02,104.51,86.46,93.29,84.01,36.68,58.53,65.44,100.06,88.14,87.93,0,0.007,0.43,0,0.559,0,0.001,0.003,5,0.559,"Adam Frazier 2023"
"54","Haseley, Adam",656514,2019,242,0.266,0.324,0.396,0.72,0.13,0.309,5,112.69,66.46,86.54,75.63,82.43,83.46,47.34,76.38,100.3,105.12,128.8,54.43,0,0.947,0.031,0,0.018,0,0,0.003,2,0.947,"Adam Haseley 2019"
"55","Jones, Adam",430945,2015,581,0.269,0.308,0.474,0.782,0.205,0.334,27,89.73,52.2,105.81,119.21,106.99,107.94,157.07,100.48,103.03,150.32,97.63,167.15,0.962,0,0.032,0,0,0,0.004,0.001,1,0.962,"Adam Jones 2015"
"56","Jones, Adam",430945,2016,672,0.265,0.31,0.436,0.746,0.171,0.319,29,83.97,69.18,102.72,110.23,102.1,100.01,121.86,97.83,107.09,148.06,106.23,135.74,0.717,0.006,0.262,0,0,0,0.005,0.01,1,0.717,"Adam Jones 2016"
"57","Jones, Adam",430945,2017,635,0.285,0.322,0.466,0.788,0.181,0.334,26,85.28,49.07,103.58,102.73,97.6,96.46,95.83,90.17,89.26,151.07,98.46,118.8,0.123,0.014,0.853,0,0.005,0,0.002,0.004,3,0.853,"Adam Jones 2017"
"58","Jones, Adam",430945,2018,613,0.281,0.313,0.419,0.732,0.138,0.315,15,70.92,44.89,108.88,100.23,97.26,93.64,68.97,90.48,75.99,141.91,100.8,78.04,0.015,0.005,0.955,0,0.021,0,0.003,0.001,3,0.955,"Adam Jones 2018"
"59","Jones, Adam",430945,2019,528,0.26,0.313,0.414,0.727,0.154,0.308,16,86.79,67.6,102.02,99,97.75,95.15,85.72,82.21,86.3,135.89,109.78,79.83,0.045,0.045,0.878,0,0.017,0,0.002,0.013,3,0.878,"Adam Jones 2019"
"60","LaRoche, Adam",425560,2015,484,0.207,0.293,0.34,0.633,0.133,0.283,12,140.21,128.58,84.25,93.77,95.28,101.07,142.95,104.56,110.34,89.3,122.77,89.18,0.064,0.255,0.008,0,0,0.213,0,0.46,8,0.46,"Adam LaRoche 2015"
"61","Lind, Adam",452252,2015,572,0.277,0.36,0.46,0.82,0.183,0.351,20,89.22,146.4,97.43,104.75,103.51,98.33,127.07,104.85,83.75,109.76,89.07,125.76,0.377,0.006,0.165,0,0.001,0.001,0.097,0.353,1,0.377,"Adam Lind 2015"
"62","Lind, Adam",452252,2016,430,0.239,0.286,0.431,0.717,0.192,0.304,20,101.64,71.56,101.54,111.67,101.47,105.12,131,120.39,85.54,117.47,100.21,146.3,0.894,0.002,0.064,0,0,0.002,0.013,0.024,1,0.894,"Adam Lind 2016"
"63","Lind, Adam",452252,2017,301,0.303,0.362,0.513,0.875,0.21,0.363,14,74.74,106.12,111.45,122.9,113.91,109.98,125.77,130.48,68.57,112.12,78.82,134.95,0.444,0,0.017,0.003,0,0,0.53,0.007,7,0.53,"Adam Lind 2017"
"64","Rosales, Adam",489267,2016,248,0.229,0.319,0.495,0.814,0.266,0.34,13,174.32,139.55,79.81,95.38,93.38,112.38,175.18,110.52,178.69,77.85,144.69,164.88,0,0,0,0,0,0.998,0,0.001,6,0.998,"Adam Rosales 2016"
"65","Rosales, Adam",489267,2017,312,0.225,0.26,0.353,0.613,0.128,0.261,7,153.79,39.94,76.01,66.61,69.89,82.68,44.92,96.26,164.34,97.92,141.32,65.09,0,1,0,0,0,0,0,0,2,1,"Adam Rosales 2017"
"66","Russell, Addison",608365,2015,523,0.242,0.307,0.389,0.696,0.147,0.304,13,145.31,101.85,81.46,82.55,85.15,92.56,91.77,85.05,144.24,95.44,142.83,89.4,0.001,0.967,0.001,0,0,0.014,0,0.017,2,0.967,"Addison Russell 2015"
"67","Russell, Addison",608365,2016,598,0.238,0.321,0.417,0.738,0.179,0.316,21,110.97,109.73,91.66,98.73,97.74,97.59,141.67,89.09,145.74,99.4,115.65,110.46,0.242,0.238,0.042,0,0,0.096,0.001,0.382,8,0.382,"Addison Russell 2016"
"68","Russell, Addison",608365,2017,385,0.239,0.304,0.418,0.722,0.179,0.305,12,113.07,85.58,98.46,94.99,94.83,98.85,85.34,102.06,117.04,102.29,119.64,90.43,0.196,0.319,0.22,0,0.002,0.009,0.001,0.253,2,0.319,"Addison Russell 2017"
"69","Russell, Addison",608365,2018,465,0.25,0.317,0.34,0.657,0.09,0.29,5,99.37,98.98,95.52,80.23,88.81,86.13,30.97,72.44,106.86,100.59,116.42,34.29,0,0.638,0.199,0,0.133,0,0,0.029,2,0.638,"Addison Russell 2018"
"70","Russell, Addison",608365,2019,241,0.237,0.308,0.391,0.699,0.154,0.297,9,109.51,95.1,89.32,81.82,88.25,88.39,88.28,74.52,118.96,107.88,121.1,98.38,0.003,0.891,0.063,0,0.006,0,0,0.037,2,0.891,"Addison Russell 2019"
"71","Hechavarría, Adeiny",588751,2015,499,0.281,0.315,0.374,0.689,0.093,0.298,5,79.54,58.56,101.82,86.54,88.95,86.52,17.65,91.16,102.36,116.91,67.94,36.04,0,0.023,0.611,0,0.364,0,0,0.001,3,0.611,"Adeiny Hechavarría 2015"
"72","Hechavarría, Adeiny",588751,2016,547,0.236,0.283,0.311,0.594,0.075,0.256,3,65.31,71.56,107.07,85.79,91.2,85.5,16.76,88.53,69.7,115.74,68.29,17.25,0,0.002,0.418,0,0.579,0,0,0,5,0.579,"Adeiny Hechavarría 2016"
"73","Hechavarría, Adeiny",588751,2017,348,0.261,0.289,0.406,0.695,0.145,0.295,8,92.47,42.22,106.34,93.35,92.36,94.87,44.92,100.32,86.31,152.16,106.12,66.7,0.015,0.034,0.93,0,0.019,0,0,0.001,3,0.93,"Adeiny Hechavarría 2017"
"74","Hechavarría, Adeiny",588751,2018,321,0.247,0.279,0.345,0.624,0.098,0.268,6,84.45,57.55,99.97,83.89,86,85.06,33.78,91.85,80.15,135.8,88.35,59.61,0.001,0.053,0.705,0,0.241,0,0,0.001,3,0.705,"Adeiny Hechavarría 2018"
"75","Hechavarría, Adeiny",588751,2019,221,0.241,0.299,0.443,0.742,0.202,0.312,9,98.6,72.19,88.92,88.23,89.48,87.87,74.21,79.83,83.39,124.14,103.76,107.28,0.006,0.423,0.497,0,0.058,0,0,0.016,3,0.497,"Adeiny Hechavarría 2019"
"76","Rutschman, Adley",668939,2022,470,0.254,0.362,0.445,0.807,0.191,0.354,13,82.85,168.68,102.51,104.55,109.83,98.57,100.64,94.62,66.2,78.85,76.74,94.7,0.031,0,0.076,0,0.002,0,0.484,0.406,7,0.484,"Adley Rutschman 2022"
"77","Rutschman, Adley",668939,2023,687,0.277,0.374,0.435,0.809,0.158,0.352,20,65.49,155.1,116.92,112.33,115.6,102.97,88.74,96.55,61.43,81.58,62.53,89.6,0.006,0,0.015,0,0,0,0.966,0.013,7,0.966,"Adley Rutschman 2023"
"78","García, Adolis",666969,2021,622,0.243,0.286,0.454,0.74,0.211,0.314,31,139.75,57.43,88.69,100.63,92.33,107.62,136.27,114.48,146.9,129.13,114.21,146.09,0.53,0.127,0.01,0,0,0.317,0,0.017,1,0.53,"Adolis García 2021"
"79","García, Adolis",666969,2022,657,0.25,0.3,0.456,0.756,0.206,0.324,27,126.31,74.56,100.86,113.71,103.41,115.87,164.33,121.88,153.13,127.33,105.97,140.7,0.911,0.001,0.001,0.001,0,0.082,0,0.004,1,0.911,"Adolis García 2022"
"80","García, Adolis",666969,2023,632,0.245,0.328,0.508,0.836,0.263,0.354,39,123.42,119.22,100.1,125.98,113.43,124.04,190.49,124.32,134.91,102.15,111.45,189.92,0.489,0,0,0.372,0,0.135,0,0.003,1,0.489,"Adolis García 2023"
"81","García, Adonis",611177,2016,562,0.273,0.311,0.406,0.717,0.133,0.308,14,81.02,51.29,110.62,101.61,99.61,98.4,79.21,98.4,92.51,126.86,86.08,78.36,0.061,0.004,0.906,0,0.01,0,0.012,0.006,3,0.906,"Adonis García 2016"
"82","Gonzalez, Adrian",408236,2015,642,0.275,0.35,0.48,0.83,0.205,0.354,28,85.14,123.49,112.2,124.7,116.49,113.71,148.25,107.18,97.04,110.1,89.07,156.87,0.752,0,0.005,0.023,0,0,0.207,0.013,1,0.752,"Adrian Gonzalez 2015"
"83","Gonzalez, Adrian",408236,2016,633,0.285,0.349,0.435,0.784,0.15,0.334,18,90.84,103.77,107.07,101.37,101.78,99.74,70.07,95.58,100.75,104.96,93.67,89.44,0.161,0.016,0.6,0,0.008,0,0.052,0.163,3,0.6,"Adrian Gonzalez 2016"
"84","Gonzalez, Adrian",408236,2017,251,0.242,0.287,0.355,0.642,0.113,0.275,3,81.93,73.03,94.52,91.47,88.98,85.33,53.9,89.01,99.31,104.11,108.41,34.68,0.002,0.281,0.544,0,0.147,0,0,0.025,3,0.544,"Adrian Gonzalez 2017"
"85","Beltré, Adrián",134181,2015,619,0.287,0.334,0.453,0.787,0.166,0.337,18,53.53,84.02,117.79,120.21,113.95,104.37,97.07,117.67,74.44,120.66,68.2,104.59,0.116,0,0.1,0,0,0,0.781,0.002,7,0.781,"Adrián Beltré 2015"
"86","Beltré, Adrián",134181,2016,640,0.3,0.358,0.521,0.879,0.221,0.371,32,50.58,89.45,114.57,121.98,113.92,102.7,129.48,113.9,69.7,119.56,58.35,157.27,0.132,0,0.043,0,0,0,0.824,0.001,7,0.824,"Adrián Beltré 2016"
"87","Beltré, Adrián",134181,2017,389,0.312,0.383,0.532,0.915,0.22,0.384,17,64.2,114.11,111.45,109.3,110.22,99.11,86.84,94.23,79.21,107.02,73.72,126.79,0.098,0,0.276,0,0.002,0,0.591,0.032,7,0.591,"Adrián Beltré 2017"
"88","Beltré, Adrián",134181,2018,481,0.273,0.328,0.434,0.762,0.161,0.327,15,93.31,81.72,106.45,105.35,102.57,101.69,90.08,102.23,100.33,105.26,89.82,99.45,0.345,0.009,0.488,0,0.002,0,0.055,0.101,3,0.488,"Adrián Beltré 2018"
"89","Baddoo, Akil",668731,2021,461,0.259,0.33,0.436,0.766,0.177,0.329,13,118.7,110.36,91.51,96.09,95.41,99.48,104.28,81.26,141.29,86.81,102.13,82.66,0.051,0.415,0.067,0,0.001,0.013,0,0.452,8,0.452,"Akil Baddoo 2021"
"90","Baddoo, Akil",668731,2022,225,0.204,0.289,0.269,0.558,0.065,0.256,2,128.57,130.79,79.37,68.68,81.25,81,45.86,69.42,109.95,91.83,114.28,30.43,0,0.978,0.004,0,0.011,0,0,0.006,2,0.978,"Akil Baddoo 2022"
"91","Baddoo, Akil",668731,2023,357,0.218,0.31,0.372,0.682,0.154,0.299,11,110.94,136.58,87.29,88.86,93.29,92.44,73.36,92.05,86.68,89.6,116.06,94.83,0.012,0.39,0.091,0,0.007,0.002,0.001,0.498,8,0.498,"Akil Baddoo 2023"
"92","Trejo, Alan",676701,2023,227,0.232,0.288,0.343,0.631,0.111,0.277,4,100.25,81.02,93.3,80,85.54,84.27,52.06,56.53,82.67,112.96,82.83,54.23,0,0.17,0.271,0,0.557,0,0,0.003,5,0.557,"Alan Trejo 2023"
"93","Almora Jr., Albert",546991,2017,323,0.298,0.338,0.445,0.783,0.147,0.334,8,78.57,67.33,105.15,93.35,94.83,91.96,59.89,93.65,96.95,128.87,100.76,71.86,0.016,0.033,0.904,0,0.036,0,0.002,0.009,3,0.904,"Albert Almora Jr. 2017"
"94","Almora Jr., Albert",546991,2018,479,0.286,0.323,0.378,0.701,0.092,0.305,5,80.71,57.55,99.97,78.04,86,82.64,19.71,74.9,91.43,141.91,96.65,33.29,0,0.08,0.46,0,0.46,0,0,0,3,0.46,"Albert Almora Jr. 2018"
"95","Almora Jr., Albert",546991,2019,363,0.236,0.271,0.381,0.652,0.145,0.271,12,77.7,50.42,100.83,88.23,87.33,85.53,58.86,72.93,78.72,132.09,96.3,87.08,0.001,0.046,0.759,0,0.193,0,0,0.001,3,0.759,"Albert Almora Jr. 2019"
"96","Almora Jr., Albert",546991,2022,235,0.223,0.282,0.349,0.631,0.126,0.279,5,88.73,88.01,96.31,78.1,86.71,82.1,22.93,65.31,97.86,124.6,81.26,72.85,0,0.114,0.351,0,0.532,0,0,0.002,5,0.532,"Albert Almora Jr. 2022"
"97","Pujols, Albert",405395,2015,661,0.244,0.307,0.48,0.787,0.236,0.333,40,55.57,96.75,107.01,119.96,109.52,99.97,135.89,111.55,63.81,99.87,78.64,217.65,0.331,0,0.031,0.001,0,0,0.625,0.011,7,0.625,"Albert Pujols 2015"
"98","Pujols, Albert",405395,2016,650,0.268,0.323,0.457,0.78,0.189,0.331,31,56.47,89.45,112.6,125.33,114.24,105.39,140.14,124.33,60.83,106.35,70.64,150.02,0.179,0,0.017,0.001,0,0,0.801,0.003,7,0.801,"Albert Pujols 2016"
"99","Pujols, Albert",405395,2017,636,0.241,0.286,0.386,0.672,0.145,0.286,23,69.95,66.18,103.18,104.14,97.29,92.49,80.85,113.66,71.53,116.49,91.83,104.92,0.078,0.005,0.857,0,0.012,0,0.029,0.019,3,0.857,"Albert Pujols 2017"
