"","name","player_id","year","pa","avg","obp","slg","ops","iso","woba","home_run","k_pct+","bb_pct+","xba+","xslg+","xwoba+","xwobacon+","barrel_rate+","hard_hit_pct+","z_sw_miss_pct+","oz_sw_pct+","oz_sw_miss_pct+","hr_rate+","probC1","probC2","probC3","probC4","probC5","probC6","probC7","probC8","Cluster","maxProb","PlayerYear"
"888","Hernández, Enrique",571771,2018,462,0.256,0.336,0.47,0.806,0.214,0.342,21,78.85,124.31,101.59,105.35,104.14,97.13,101.34,101.14,86.68,81.91,96.17,144.96,0.221,0.003,0.141,0,0.001,0.001,0.184,0.45,8,0.45,"Enrique Hernández 2018"
"889","Hernández, Enrique",571771,2019,460,0.237,0.304,0.411,0.715,0.174,0.301,17,95.87,89.37,94.88,91.21,93.15,90.47,71.65,91.49,92.14,95.09,122.06,97.35,0.03,0.365,0.376,0,0.019,0.001,0.001,0.209,3,0.376,"Enrique Hernández 2019"
"890","Hernández, Enrique",571771,2021,585,0.25,0.337,0.449,0.786,0.199,0.338,20,84.21,117.11,101.99,108.49,106.84,99.74,99.54,108.69,78.5,90.07,107.47,100.21,0.3,0.004,0.164,0,0.001,0.001,0.16,0.371,8,0.371,"Enrique Hernández 2021"
"891","Hernández, Enrique",571771,2022,402,0.222,0.291,0.338,0.629,0.116,0.28,6,80.13,103.9,98.38,90.82,95.38,87.59,73.89,89.99,83.47,92.85,113.81,51.1,0.009,0.127,0.593,0,0.09,0,0.004,0.176,3,0.593,"Enrique Hernández 2022"
"892","Hernández, Enrique",571771,2023,508,0.237,0.289,0.357,0.646,0.12,0.282,11,85.1,77.55,89.69,80.72,84.3,79.53,53.24,84.3,91.28,97.27,95.52,66.64,0,0.347,0.306,0,0.334,0,0,0.014,2,0.347,"Enrique Hernández 2023"
"893","Campbell, Eric",493472,2015,206,0.197,0.312,0.295,0.607,0.098,0.277,3,91.77,160.41,112.6,103.75,112.69,104.64,75.89,104.85,84.41,58.97,150.05,52.38,0.052,0.001,0.008,0,0,0.002,0.08,0.857,8,0.857,"Eric Campbell 2015"
"894","Haase, Eric",606992,2021,381,0.231,0.286,0.459,0.745,0.228,0.316,22,139.75,76.58,94.33,109.92,99.43,115.76,162.34,120.51,150.83,104.9,120.01,169.26,0.4,0.001,0,0.001,0,0.589,0,0.009,6,0.589,"Eric Haase 2021"
"895","Haase, Eric",606992,2022,351,0.254,0.305,0.443,0.748,0.189,0.322,14,124.95,83.12,98.79,101.5,96.99,107.08,110.83,109.02,134.13,120.84,116.18,136.56,0.783,0.049,0.033,0,0,0.076,0,0.059,1,0.783,"Eric Haase 2022"
"896","Haase, Eric",606992,2023,293,0.201,0.247,0.281,0.528,0.08,0.233,4,122.97,67.13,86.89,74.01,78.41,84.8,54.43,89.8,129.74,126.56,120.44,42.02,0,0.983,0.013,0,0.003,0,0,0.001,2,0.983,"Eric Haase 2023"
"897","Hosmer, Eric",543333,2015,667,0.297,0.363,0.459,0.822,0.162,0.355,18,82.6,115.85,115.4,116.47,114.27,110.68,125.31,118.83,84.41,107.03,87.2,97.06,0.457,0,0.029,0.001,0,0,0.487,0.025,7,0.487,"Eric Hosmer 2015"
"898","Hosmer, Eric",543333,2016,667,0.266,0.328,0.433,0.761,0.167,0.326,25,97.22,101.38,102.72,105.92,103.03,102.7,140.14,124.62,100.12,109.13,116.43,117.9,0.846,0.003,0.036,0,0,0.01,0.014,0.091,1,0.846,"Eric Hosmer 2016"
"899","Hosmer, Eric",543333,2017,671,0.318,0.385,0.498,0.883,0.18,0.376,25,74.26,111.83,112.64,106.48,108.37,101.23,104.81,114.24,79.8,97.92,103.31,108.1,0.355,0,0.143,0,0,0,0.394,0.108,7,0.394,"Eric Hosmer 2017"
"900","Hosmer, Eric",543333,2018,677,0.253,0.322,0.398,0.72,0.145,0.309,18,97.98,105.89,96.73,91.21,94.44,93.91,83.04,104.42,106.86,105.26,117.16,84.79,0.093,0.283,0.321,0,0.006,0.002,0.002,0.293,3,0.321,"Eric Hosmer 2018"
"901","Hosmer, Eric",543333,2019,667,0.265,0.31,0.425,0.735,0.16,0.309,22,110.87,68.75,98.85,94.19,93.15,98.01,92.12,121.99,103.8,113.76,115.08,86.89,0.321,0.206,0.351,0,0.002,0.005,0.002,0.114,3,0.351,"Eric Hosmer 2019"
