"","name","player_id","year","pa","avg","obp","slg","ops","woba","home_run","adj_k_pct","adj_bb_pct","adj_xba","adj_xslg","adj_xwoba","adj_xwobacon","adj_barrel_pct","adj_hh_pct","adj_zswm_pct","adj_ozsw_pct","adj_ozswm_pct","adj_hr_rate","probC1","probC2","probC3","probC4","probC5","probC6","Cluster","PlayerYear"
"2387","Mountcastle, Ryan",663624,2021,586,0.255,0.309,0.487,0.796,0.335,33,123.18,78.83,98.77,108.97,100.66,110.77,139.83,99.88,127.84,138.18,106.78,165.07,0.917,0.017,0,0,0.052,0.013,1,"Ryan Mountcastle 2021"
"2388","Mountcastle, Ryan",663624,2022,609,0.25,0.305,0.423,0.728,0.316,22,114.54,86.79,114.5,129.48,116.26,127.13,191.08,119.05,126.65,129.03,101.93,123.68,0.808,0,0,0.163,0.013,0.016,1,"Ryan Mountcastle 2022"
"2389","Mountcastle, Ryan",663624,2023,470,0.27,0.328,0.452,0.78,0.333,18,101.58,91.44,109.31,120.48,110.33,114.03,143.17,112.31,100.46,134.93,105.22,117.87,0.927,0.001,0,0.003,0.004,0.065,1,"Ryan Mountcastle 2023"
"2390","Noda, Ryan",676116,2023,495,0.229,0.364,0.406,0.77,0.342,16,152.82,180.57,85.29,93.89,103.51,115.88,153.81,112.56,158.44,66.94,161.75,99.48,0.002,0.001,0,0,0.997,0,5,"Ryan Noda 2023"
"2391","O'Hearn, Ryan",656811,2019,370,0.195,0.281,0.369,0.65,0.278,14,121.77,120.31,88.13,93.5,94.07,97.23,116.43,115.89,95.64,96.82,110.26,99.68,0.28,0.537,0.012,0,0.086,0.084,2,"Ryan O'Hearn 2019"
"2392","O'Hearn, Ryan",656811,2021,254,0.225,0.268,0.369,0.637,0.274,9,125.42,57.43,94.74,94.43,90.78,100.27,98.35,113.72,109.33,110.32,116.76,103.86,0.397,0.53,0.017,0,0.032,0.023,2,"Ryan O'Hearn 2021"
"2393","O'Hearn, Ryan",656811,2023,368,0.289,0.322,0.48,0.802,0.339,14,99.36,47.46,104.11,109.94,99.48,104.55,119.5,128.82,79.8,107.73,99.91,117.08,0.841,0.012,0.008,0,0.003,0.136,1,"Ryan O'Hearn 2023"
"2394","Raburn, Ryan",430605,2015,201,0.301,0.393,0.543,0.936,0.397,8,111.66,145.13,104.62,123.45,117.12,119.75,162.37,138.93,127.62,59.65,122.5,143.15,0.072,0,0,0.805,0.106,0.017,4,"Ryan Raburn 2015"
"2395","Raburn, Ryan",430605,2016,256,0.22,0.309,0.404,0.713,0.309,9,153.69,130.01,75.86,80.52,86.53,93.29,94.44,121.8,159.05,84.8,130.82,110.58,0.007,0.531,0,0,0.462,0,2,"Ryan Raburn 2016"
"2396","Rua, Ryan",607387,2016,269,0.258,0.331,0.4,0.731,0.317,8,138.96,93.03,90.87,86.75,91.2,98.67,100.54,113.9,136.87,94.88,112.51,93.55,0.126,0.735,0.004,0,0.125,0.011,2,"Ryan Rua 2016"
"2397","Schimpf, Ryan",572114,2016,330,0.217,0.336,0.533,0.869,0.362,20,156.15,151.48,77.44,113.59,107.08,122.6,254.39,116.72,135.6,81.68,118.52,190.63,0.007,0,0,0.016,0.977,0,5,"Ryan Schimpf 2016"
"2398","Zimmerman, Ryan",475582,2015,390,0.249,0.308,0.465,0.773,0.329,16,103.5,108.21,115,125.94,117.12,120.02,171.19,140.97,81.09,93.74,102.44,147.56,0.367,0,0,0.549,0.004,0.08,4,"Ryan Zimmerman 2015"
"2399","Zimmerman, Ryan",475582,2016,467,0.218,0.272,0.37,0.642,0.277,15,109.5,73.95,97.19,99.69,98.36,102.16,106.63,128.56,106.45,111.91,92.36,101.03,0.769,0.09,0.016,0,0.013,0.112,1,"Ryan Zimmerman 2016"
"2400","Zimmerman, Ryan",475582,2017,576,0.303,0.358,0.573,0.931,0.387,36,104.92,86.72,114.21,130.17,116.38,122.44,182.67,142.36,98.13,106.3,98.72,181.34,0.322,0,0,0.658,0.004,0.016,4,"Ryan Zimmerman 2017"
"2401","Zimmerman, Ryan",475582,2018,323,0.264,0.337,0.486,0.823,0.351,13,79.31,107.04,108.07,123.64,115.71,110.55,191.42,144.33,102.11,85.86,86.4,128.36,0.509,0,0,0.258,0.005,0.228,1,"Ryan Zimmerman 2018"
"2402","Zimmerman, Ryan",475582,2021,273,0.243,0.286,0.471,0.757,0.319,14,126.31,66.44,93.53,99.67,92.64,103.16,125.61,120.26,104.85,120.09,105.85,150.32,0.788,0.124,0.004,0,0.059,0.024,1,"Ryan Zimmerman 2021"
"2403","Healy, Ryon",592387,2016,283,0.305,0.337,0.524,0.861,0.364,13,104.1,50.09,114.18,121.74,110.19,117.22,137.1,112.77,83.64,117.47,94.98,144.49,0.907,0,0,0.003,0.001,0.087,1,"Ryon Healy 2016"
"2404","Healy, Ryon",592387,2017,605,0.271,0.302,0.451,0.753,0.32,25,112.59,43.36,99.64,104.6,96.37,103.88,113.79,117.14,99.31,122.31,111.73,119.89,0.874,0.068,0.009,0,0.011,0.038,1,"Ryon Healy 2017"
"2405","Healy, Ryon",592387,2018,524,0.235,0.277,0.412,0.689,0.296,24,100.77,59.85,104.42,107.79,100.7,104.38,99.93,113.71,70.65,121.07,116.91,146.07,0.867,0.017,0.01,0,0.003,0.103,1,"Ryon Healy 2018"
"2406","Frelick, Sal",686217,2023,223,0.246,0.341,0.351,0.692,0.309,3,73.96,145.84,94.1,72.81,91.74,76.64,29.58,59.03,53.96,101.11,55.61,41.4,0,0.015,0.981,0,0,0.004,3,"Sal Frelick 2023"
"2407","Perez, Salvador",521692,2015,553,0.26,0.28,0.426,0.706,0.3,21,75.46,30.55,103.82,101.75,94.33,93.93,93.54,94.95,65.14,142.14,79.44,136.59,0.255,0.031,0.637,0,0,0.078,3,"Salvador Perez 2015"
"2408","Perez, Salvador",521692,2016,546,0.247,0.288,0.438,0.726,0.308,22,107.04,47.71,92.45,94.42,89.65,93.02,95.97,106.57,86.81,148.06,96.81,126.74,0.374,0.418,0.186,0,0.001,0.021,2,"Salvador Perez 2016"
"2409","Perez, Salvador",521692,2017,498,0.268,0.297,0.495,0.792,0.329,27,91.51,38.8,108.3,124.78,107.45,111.04,140.74,112.79,67.98,167.45,83.41,157.3,0.967,0,0.002,0,0,0.03,1,"Salvador Perez 2017"
"2410","Perez, Salvador",521692,2018,544,0.235,0.274,0.439,0.713,0.304,27,92.84,35.68,103.61,116.33,104.45,106.26,152.01,129.84,73.02,158.79,93.48,158.29,0.976,0.001,0.001,0,0,0.021,1,"Salvador Perez 2018"
"2411","Perez, Salvador",521692,2021,665,0.273,0.316,0.544,0.86,0.359,48,114.67,47.3,110.06,134.01,114.56,126.78,193.15,141.4,116.06,161.69,116.06,211.58,0.758,0,0,0.232,0.009,0.001,1,"Salvador Perez 2021"
"2412","Perez, Salvador",521692,2022,473,0.254,0.292,0.465,0.757,0.324,23,104.13,46.45,100.03,119.56,103.73,110.38,142.68,125.99,127.8,147.47,104.54,166.48,0.98,0.001,0,0.001,0.011,0.007,1,"Salvador Perez 2022"
"2413","Perez, Salvador",521692,2023,580,0.255,0.292,0.422,0.714,0.302,23,103.81,38.2,106.51,110.18,100.72,107.18,104.12,110.06,113.09,163.86,100.37,122.04,0.966,0.011,0.007,0,0.001,0.015,1,"Salvador Perez 2023"
"2414","Fuld, Sam",453539,2015,325,0.197,0.276,0.293,0.569,0.255,2,86.16,117.12,85.85,69.08,83.25,73.88,22.94,63.49,42.54,72.94,98.43,22.13,0,0.185,0.814,0,0,0.001,3,"Sam Fuld 2015"
"2415","Haggerty, Sam",664059,2022,201,0.256,0.335,0.403,0.738,0.32,5,119.52,110.01,95.07,83.95,91.53,94.45,50.96,63.25,122.04,93.87,106.2,85.17,0.013,0.893,0.08,0,0.001,0.013,2,"Sam Haggerty 2022"
"2416","Hilliard, Sam",656541,2021,238,0.215,0.294,0.463,0.757,0.318,14,163.94,109.23,85.87,103.96,96.03,121.27,177.74,97.12,194.56,98.39,133.7,172.43,0.007,0.001,0,0,0.992,0,5,"Sam Hilliard 2021"
"2417","León, Sandy",506702,2016,283,0.31,0.369,0.476,0.845,0.362,7,114.41,96.61,93.63,86.99,92.14,94.1,63.98,75.28,76.04,110.52,80.32,77.8,0.02,0.414,0.531,0,0,0.035,3,"Sandy León 2016"
"2418","León, Sandy",506702,2017,301,0.225,0.29,0.354,0.644,0.279,7,117.86,94.71,80.74,70.83,79.43,79.24,37.43,72.2,83.35,107.02,89.79,67.47,0,0.77,0.23,0,0,0,2,"Sandy León 2017"
"2419","León, Sandy",506702,2018,288,0.177,0.232,0.279,0.511,0.227,5,121.3,59.85,74.47,68.77,72.86,74.86,64.75,70.52,90.83,110.65,89.33,55.37,0,0.872,0.128,0,0,0,2,"Sandy León 2018"
"2420","León, Sandy",506702,2021,220,0.183,0.237,0.267,0.504,0.225,4,132.14,61.94,68.53,61.52,66.7,69.56,24.88,66.42,97.56,110.69,106.08,53.3,0,0.967,0.033,0,0,0,2,"Sandy León 2021"
"2421","Espinal, Santiago",669289,2021,246,0.311,0.376,0.405,0.781,0.344,2,54.65,100.22,107.64,82.5,94.8,81.11,18.96,57.36,54.39,92.96,71.96,23.83,0,0.003,0.991,0,0,0.006,3,"Santiago Espinal 2021"
"2422","Espinal, Santiago",669289,2022,491,0.267,0.322,0.37,0.692,0.305,7,62.48,89.23,108.71,88.53,95.7,85.94,43.31,81.51,62.75,87.39,65.1,48.81,0.001,0.007,0.937,0,0,0.054,3,"Santiago Espinal 2022"
"2423","Espinal, Santiago",669289,2023,254,0.248,0.31,0.335,0.645,0.285,2,63.27,82.18,102.51,80.48,90.81,80.32,11.83,73.54,66.02,88.21,74.99,24.23,0,0.012,0.983,0,0,0.005,3,"Santiago Espinal 2023"
"2424","Gennett, Scooter",571697,2015,391,0.264,0.294,0.381,0.675,0.289,6,88.71,39.47,92.24,78.56,79.77,80.47,17.65,65.53,63.81,140.77,81.31,55.19,0,0.055,0.945,0,0,0,3,"Scooter Gennett 2015"
"2425","Gennett, Scooter",571697,2016,541,0.263,0.317,0.412,0.729,0.315,14,103.61,83.49,90.08,80.76,85.6,84.42,59.41,69.07,98.85,115.39,90.53,81.4,0.003,0.602,0.391,0,0,0.003,2,"Scooter Gennett 2016"
"2426","Gennett, Scooter",571697,2017,497,0.295,0.342,0.531,0.873,0.367,27,109.72,68.47,98.06,100.15,96.06,100.17,98.82,102.35,101.67,115.76,76.78,157.62,0.703,0.107,0.056,0,0.004,0.13,1,"Scooter Gennett 2017"
"2427","Gennett, Scooter",571697,2018,638,0.31,0.357,0.49,0.847,0.362,23,91.44,75.97,104.02,98.28,97.26,96.6,81.64,88.29,84.3,130.41,74.2,114.97,0.257,0.075,0.496,0,0,0.172,3,"Scooter Gennett 2018"
"2428","Kingery, Scott",664068,2018,484,0.226,0.267,0.338,0.605,0.263,8,121.3,57.55,91.07,85.84,85.06,92.57,76.01,86.65,138.92,131.49,96.41,52.71,0.017,0.912,0.069,0,0,0.001,2,"Scott Kingery 2018"
"2429","Kingery, Scott",664068,2019,500,0.258,0.315,0.474,0.789,0.329,19,133.59,77.91,97.66,99.46,96.83,108.67,102.36,103.16,135.29,107.88,119.65,100.1,0.558,0.26,0.003,0,0.156,0.024,1,"Scott Kingery 2019"
"2430","Schebler, Scott",594988,2016,282,0.265,0.33,0.432,0.762,0.328,9,102.63,79.91,100.74,94.66,97.12,97.33,77.69,111.08,126.73,112.96,128.73,100.39,0.541,0.351,0.02,0,0.029,0.059,1,"Scott Schebler 2016"
"2431","Schebler, Scott",594988,2017,531,0.233,0.307,0.484,0.791,0.33,30,112.59,83.3,100.82,115.63,107.14,112.37,152.72,118.3,134.78,119.4,106.37,163.92,0.899,0.002,0,0.007,0.072,0.02,1,"Scott Schebler 2017"
